url,slug,title,date,word_count,http_status,fetched_at
https://chambersstwines.com/blogs/articles/10-12-19,10-12-19,"Beat the Tariffs - French New Arrivals and Returning Favorites, Featuring Jane et Sylvain, Barth, Lambert, Rontets and Many, Many More!",,198,200,2026-04-21T16:25:09+00:00
https://chambersstwines.com/blogs/articles/10-champagnes-under-60-that-you-will-want-to-stock-up-on,10-champagnes-under-60-that-you-will-want-to-stock-up-on,10 Champagnes Under $60 That You Will Want to Stock Up On!,,1152,200,2026-04-21T16:25:09+00:00
https://chambersstwines.com/blogs/articles/1982-giacomo-conterno-cascina-francia,1982-giacomo-conterno-cascina-francia,1982 Giacomo Conterno Cascina Francia,,447,200,2026-04-21T16:25:09+00:00
https://chambersstwines.com/blogs/articles/1989-hans-kramp-an-incredible-find-in-the-saar,1989-hans-kramp-an-incredible-find-in-the-saar,1989 Hans Kramp: An Incredible Find In The Saar,,870,200,2026-04-21T16:25:12+00:00
https://chambersstwines.com/blogs/articles/1994-zilliken-saarburger-rausch-kabinett,1994-zilliken-saarburger-rausch-kabinett,1994 Zilliken Saarburger Rausch Kabinett,,347,200,2026-04-21T16:25:13+00:00
https://chambersstwines.com/blogs/articles/2005-auxey-duresses-1er-cru-reds-from-gilles-lafouge-one-of-our-favorites,2005-auxey-duresses-1er-cru-reds-from-gilles-lafouge-one-of-our-favorites,2005 Auxey-Duresses 1er Cru Reds from Gilles Lafouge - One of our favorites,,355,200,2026-04-21T16:25:15+00:00
https://chambersstwines.com/blogs/articles/2005-chinon-domaine-from-bernard-baudry,2005-chinon-domaine-from-bernard-baudry,2005 Chinon Domaine From Bernard Baudry!,,266,200,2026-04-21T16:25:17+00:00
https://chambersstwines.com/blogs/articles/2006-clos-roche-blanche-cot-vieilles-vignes-as-real-as-it-gets,2006-clos-roche-blanche-cot-vieilles-vignes-as-real-as-it-gets,2006 Clos Roche Blanche Cot Vieilles Vignes: As Real As It Gets,,487,200,2026-04-21T16:25:19+00:00
https://chambersstwines.com/blogs/articles/2007-a-classic-vintage-for-muscadet,2007-a-classic-vintage-for-muscadet,2007 - A Classic Vintage for Muscadet!,,209,200,2026-04-21T16:25:21+00:00
https://chambersstwines.com/blogs/articles/2007-keller-and-schonleber,2007-keller-and-schonleber,2007 Keller and Schonleber,,380,200,2026-04-21T16:25:23+00:00
https://chambersstwines.com/blogs/articles/2008-christian-ducroux-regnie-sans-souffre,2008-christian-ducroux-regnie-sans-souffre,2008 Christian Ducroux Regnié Sans Souffre!,,291,200,2026-04-21T16:25:25+00:00
